,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15
18,189000.0,2,1.0,9850,1.0,0.0,0.0,4,1200,0,1921,98002,47.3089,-122.21,1060
19,230000.0,3,1.0,9774,1.0,0.0,0.0,4,1250,0,1969,98003,47.3343,-122.306,1280
20,385000.0,4,1.75,4980,1.0,0.0,0.0,4,860,760,1947,98133,47.7025,-122.34100000000001,1400
22,285000.0,5,2.5,6300,2.0,0.0,0.0,3,2270,0,1995,98092,47.3266,-122.169,2240
23,252700.0,2,1.5,9643,1.0,0.0,0.0,3,1070,0,1985,98030,47.3533,-122.166,1220
24,329000.0,3,2.25,6500,2.0,0.0,0.0,4,2450,0,1985,98030,47.3739,-122.17200000000001,2200
25,233000.0,3,2.0,4697,1.5,0.0,0.0,5,1710,0,1941,98002,47.3048,-122.21799999999999,1030
26,937000.0,3,1.75,2691,2.0,0.0,0.0,3,1750,700,1915,98119,47.6386,-122.36,1760
27,667000.0,3,1.0,1581,1.5,0.0,0.0,5,1400,0,1909,98112,47.6221,-122.314,1860
28,438000.0,3,1.75,6380,1.0,0.0,0.0,3,790,730,1948,98115,47.695,-122.304,1520
29,719000.0,4,2.5,7173,2.0,0.0,0.0,3,2570,0,2005,98052,47.7073,-122.11,2630
30,580500.0,3,2.5,3980,2.0,0.0,0.0,3,2320,0,2003,98027,47.5391,-122.07,2580
31,280000.0,2,1.5,1265,3.0,0.0,0.0,3,1190,0,2005,98133,47.7274,-122.35700000000001,1390
32,687500.0,4,1.75,5000,1.5,0.0,0.0,4,1510,820,1929,98117,47.6823,-122.368,1460
33,535000.0,3,1.0,3000,1.5,0.0,0.0,4,1090,0,1929,98117,47.6889,-122.375,1570
34,322500.0,4,2.75,6659,1.0,0.0,0.0,3,1280,780,1981,98058,47.4276,-122.15700000000001,2020
35,696000.0,3,2.5,3060,1.5,0.0,0.0,3,1510,790,1930,98115,47.6827,-122.31,1590
36,550000.0,4,1.0,34848,1.0,0.0,0.0,1,930,730,1933,98052,47.6621,-122.132,2160
37,640000.0,4,2.0,6000,2.0,0.0,0.0,4,2360,0,1904,98107,47.6702,-122.36200000000001,1730
38,240000.0,4,1.0,8075,1.0,0.0,0.0,2,890,330,1969,98001,47.3341,-122.28200000000001,1290
39,605000.0,4,2.5,7553,2.0,0.0,0.0,3,2620,0,1996,98056,47.5301,-122.18,2620
40,625000.0,4,2.5,5520,2.0,0.0,0.0,3,2570,0,2000,98074,47.6145,-122.027,2470
41,775000.0,4,2.25,24186,1.0,0.0,0.0,3,2600,1620,1984,98166,47.445,-122.34700000000001,2410
42,861990.0,5,2.75,5639,2.0,0.0,0.0,3,3595,0,2014,98053,47.6848,-122.016,3625
43,685000.0,3,1.0,2280,2.0,0.0,0.0,3,1570,0,1922,98119,47.6413,-122.36399999999999,1580
44,309000.0,3,1.0,9656,1.0,0.0,0.0,4,920,360,1959,98058,47.4485,-122.175,1340
45,488000.0,3,2.5,13603,2.0,0.0,0.0,3,3160,0,2003,98019,47.7443,-121.977,3050
46,210490.0,3,1.0,8528,1.0,0.0,0.0,3,990,0,1966,98023,47.3066,-122.37100000000001,1228
47,785000.0,4,2.5,13416,2.0,0.0,0.0,4,2290,0,1981,98007,47.6194,-122.15100000000001,2680
48,450000.0,3,1.75,5963,1.0,0.0,0.0,4,1250,0,1953,98115,47.6796,-122.301,970
49,1350000.0,3,2.5,65005,1.0,1.0,2.0,5,2165,588,1953,98070,47.4041,-122.45100000000001,2680
50,228000.0,3,1.0,9199,1.0,0.0,0.0,3,1190,0,1955,98148,47.4258,-122.322,1190
51,345000.0,5,2.5,9134,1.0,0.0,0.0,4,1640,1510,1966,98056,47.4934,-122.189,1990
52,600000.0,3,1.75,4080,1.0,0.0,0.0,4,1000,410,1950,98117,47.6808,-122.384,1410
53,585000.0,2,1.75,8550,1.0,0.0,0.0,3,990,990,1981,98117,47.6989,-122.369,1480
54,920000.0,5,2.25,6000,1.5,0.0,0.0,3,2130,600,1927,98105,47.6571,-122.281,2730
55,885000.0,4,2.5,5000,2.0,0.0,0.0,3,2830,0,1995,98105,47.6597,-122.29,1950
56,292500.0,4,2.5,4495,2.0,0.0,0.0,3,2250,0,2008,98042,47.3663,-122.11399999999999,2250
57,301000.0,3,2.5,4750,2.0,0.0,0.0,3,2420,0,2003,98042,47.3663,-122.12200000000001,2690
58,951000.0,5,3.25,14342,2.0,0.0,4.0,4,3250,0,1968,98008,47.588,-122.116,2960
59,430000.0,4,3.0,9976,2.0,0.0,0.0,3,1850,0,1991,98059,47.5059,-122.149,2270
60,650000.0,3,2.25,21235,1.0,0.0,3.0,4,1590,560,1959,98166,47.4336,-122.339,2570
61,289000.0,3,1.75,8400,1.0,0.0,0.0,3,1260,0,1954,98148,47.4366,-122.335,1290
62,505000.0,3,1.75,8690,2.0,0.0,0.0,5,2519,0,1973,98166,47.4428,-122.344,2500
63,549000.0,3,1.75,1044,3.0,0.0,0.0,3,1540,0,2014,98115,47.6765,-122.32,1580
64,425000.0,3,2.25,6000,1.0,0.0,0.0,3,1110,550,1979,98122,47.6113,-122.29700000000001,1440
65,317625.0,3,2.75,3809,1.5,0.0,0.0,5,1770,1000,1925,98144,47.5747,-122.304,1440
66,975000.0,4,2.5,11049,2.0,0.0,0.0,3,2720,0,1989,98004,47.5815,-122.19200000000001,2750
67,287000.0,4,2.5,4648,2.0,0.0,0.0,3,2240,0,2005,98001,47.3378,-122.257,2221
68,204000.0,3,1.0,12070,1.0,0.0,0.0,4,1000,0,1968,98042,47.3621,-122.11,1010
69,1330000.0,5,2.25,20158,1.0,0.0,0.0,3,1600,1600,1965,98004,47.6303,-122.215,3390
70,1040000.0,5,3.25,50094,1.0,0.0,0.0,4,3070,1700,1973,98005,47.6525,-122.16,3530
71,325000.0,3,2.0,5612,1.0,0.0,0.0,4,1260,0,1972,98034,47.7362,-122.179,1640
72,571000.0,4,2.0,7807,1.5,0.0,0.0,5,2250,500,1916,98125,47.7168,-122.287,1510
73,360000.0,4,2.5,5000,2.0,0.0,0.0,3,2380,0,2005,98038,47.3608,-122.036,2420
74,349000.0,3,1.75,50529,1.0,0.0,0.0,5,1090,700,1965,98042,47.3511,-122.073,1940
75,832500.0,4,4.0,35102,2.0,0.0,0.0,4,2390,1040,1986,98075,47.5822,-121.98700000000001,3240
76,380000.0,4,1.75,7300,1.0,0.0,0.0,3,880,880,1956,98008,47.6034,-122.125,1680
77,480000.0,3,1.0,5060,1.0,0.0,0.0,3,1040,0,1941,98116,47.5636,-122.39399999999999,890
78,410000.0,3,1.0,5060,1.0,0.0,0.0,4,910,500,1956,98133,47.7073,-122.34,1130
79,720000.0,4,2.5,39683,2.0,0.0,0.0,3,3450,0,2002,98010,47.342,-122.025,3350
80,390000.0,3,2.5,5100,2.0,0.0,0.0,3,2350,0,2003,98038,47.3512,-122.008,2350
81,360000.0,4,2.5,5889,2.0,0.0,0.0,3,1900,0,1992,98038,47.349,-122.031,1870
82,355000.0,2,1.0,6720,1.0,0.0,0.0,3,1010,1010,1948,98118,47.5474,-122.291,1720
83,356000.0,3,1.5,8712,1.0,0.0,0.0,3,1680,0,1964,98059,47.4811,-122.149,1850
84,315000.0,3,1.0,6634,1.0,0.0,0.0,3,960,0,1952,98125,47.7264,-122.31,1570
85,940000.0,3,1.5,3600,2.0,0.0,0.0,3,1900,240,1925,98119,47.6337,-122.365,2020
86,305000.0,5,2.25,8400,1.5,0.0,0.0,5,2660,0,1961,98092,47.2909,-122.189,1590
87,461000.0,3,3.25,6278,2.0,0.0,0.0,3,1980,790,2006,98056,47.5228,-122.199,1900
88,215000.0,2,2.25,2040,2.0,0.0,0.0,4,1610,0,1979,98056,47.518,-122.194,1950
89,335000.0,2,1.75,1066,2.0,0.0,0.0,3,765,265,2006,98136,47.5394,-122.387,1030
90,243500.0,4,2.5,7403,2.0,0.0,0.0,3,1980,0,1988,98023,47.2897,-122.37200000000001,1980
91,1100000.0,5,2.75,6353,2.0,0.0,0.0,4,3520,0,2001,98199,47.6506,-122.391,2520
92,153000.0,3,1.0,10500,1.0,0.0,0.0,3,1200,0,1962,98023,47.321999999999996,-122.351,1350
93,430000.0,3,1.5,5000,1.0,0.0,0.0,3,1290,290,1939,98117,47.687,-122.38600000000001,1570
94,700000.0,3,1.5,5000,1.0,0.0,0.0,3,1290,290,1939,98117,47.687,-122.38600000000001,1570
95,905000.0,4,2.5,10250,1.0,0.0,0.0,3,2390,910,1946,98040,47.5873,-122.249,1950
96,247500.0,3,1.75,15681,1.0,0.0,0.0,3,1960,0,1967,98032,47.3576,-122.277,1750
97,199000.0,4,1.5,6400,1.0,0.0,0.0,4,1160,0,1975,98023,47.3036,-122.37799999999999,1160
98,314000.0,3,1.75,41800,1.0,0.0,0.0,5,1210,600,1980,98038,47.4109,-121.958,1650
99,437500.0,3,2.5,36847,2.0,0.0,2.0,3,2320,0,1992,98045,47.4838,-121.714,2550
100,850830.0,3,2.5,13241,1.5,0.0,0.0,5,1270,800,1910,98102,47.6415,-122.315,2200
101,555000.0,3,2.0,3478,1.5,0.0,0.0,4,1440,540,1929,98117,47.6775,-122.37200000000001,1610
102,699950.0,3,2.25,107593,2.0,0.0,0.0,4,2190,0,1983,98077,47.7731,-122.08,2570
103,1090000.0,3,2.5,8113,2.0,0.0,0.0,3,2920,0,1950,98004,47.5814,-122.196,2370
104,290000.0,3,1.0,33919,1.0,0.0,0.0,3,1210,0,1954,98058,47.4375,-122.184,1640
105,375000.0,3,2.5,10005,1.0,0.0,0.0,4,1460,880,1978,98058,47.4431,-122.133,2250
106,460000.0,3,1.0,4005,1.5,0.0,0.0,4,1170,500,1939,98117,47.6878,-122.38,1240
107,188500.0,2,1.75,2493,1.0,0.0,0.0,4,1240,0,1985,98198,47.3813,-122.322,1270
108,680000.0,4,2.5,28037,2.0,0.0,0.0,4,3140,0,1991,98077,47.7304,-122.08200000000001,2990
109,470000.0,5,1.75,12342,2.0,0.0,0.0,4,2030,0,1942,98052,47.6417,-122.109,2500
110,597750.0,4,2.5,9624,2.0,0.0,0.0,3,2310,0,1984,98027,47.5386,-122.053,1940
111,570000.0,3,1.75,3328,1.0,0.0,0.0,5,700,560,1905,98103,47.6823,-122.34899999999999,1380
112,272500.0,3,1.75,12600,1.0,0.0,0.0,4,1160,380,1980,98038,47.3624,-122.031,1540
113,329950.0,3,1.75,5969,1.0,0.0,2.0,3,1080,1000,1971,98108,47.5474,-122.295,2090
114,480000.0,4,2.5,16171,2.0,0.0,0.0,3,2520,710,2001,98001,47.3183,-122.25299999999999,2640
115,740500.0,3,3.5,6350,2.0,0.0,0.0,3,2780,1600,1900,98117,47.6981,-122.368,1830
116,518500.0,3,3.5,1102,3.0,0.0,0.0,3,1590,0,2010,98103,47.6824,-122.34700000000001,1620
117,205425.0,2,1.0,6780,1.0,0.0,0.0,4,880,0,1945,98178,47.5009,-122.24799999999999,1190
118,171800.0,4,2.0,9600,1.0,0.0,0.0,3,1570,0,1950,98168,47.4965,-122.303,1880
119,535000.0,4,1.0,2982,1.5,0.0,0.0,4,1610,0,1925,98144,47.586999999999996,-122.294,1610
120,660000.0,3,2.5,6474,1.0,0.0,2.0,3,1560,840,1964,98177,47.7728,-122.38600000000001,2340
121,391500.0,3,2.0,9132,1.0,0.0,0.0,3,1450,0,1987,98034,47.7288,-122.226,1580
122,395000.0,2,1.0,6000,1.0,0.0,0.0,3,770,0,1953,98117,47.6999,-122.36399999999999,1710
123,445000.0,4,1.75,4400,1.5,0.0,0.0,5,1720,380,1924,98118,47.5299,-122.266,1850
124,770000.0,3,2.25,10204,2.0,0.0,0.0,3,2910,0,1990,98052,47.6897,-122.098,2700
125,1450000.0,4,2.75,17789,1.5,0.0,0.0,3,1980,770,1914,98004,47.6141,-122.212,3060
126,445000.0,3,2.25,8201,1.0,0.0,2.0,3,1620,480,1967,98178,47.5091,-122.244,2660
127,260000.0,4,2.25,8811,1.0,0.0,0.0,3,1360,800,1978,98023,47.3129,-122.39,2090
128,822500.0,5,3.5,4960,2.0,0.0,0.0,5,1720,600,1926,98103,47.6763,-122.352,1700
129,430000.0,4,2.5,4310,2.0,0.0,0.0,3,2070,0,2004,98065,47.5319,-121.85,1970
130,212000.0,3,1.75,7875,1.0,0.0,0.0,4,1060,0,1986,98092,47.2761,-122.152,1420
131,660500.0,4,2.25,9603,1.0,0.0,0.0,3,1440,570,1986,98027,47.5343,-122.054,2060
132,784000.0,3,3.5,111078,1.5,0.0,0.0,3,2460,1490,1989,98052,47.696999999999996,-122.072,2480
133,453246.0,3,2.5,2287,2.0,0.0,0.0,3,1390,620,2014,98029,47.5517,-121.99799999999999,1690
134,675000.0,4,3.5,2278,3.0,0.0,0.0,3,2140,0,2005,98107,47.6734,-122.38,1540
135,199000.0,3,1.75,17390,1.0,0.0,0.0,4,1320,0,1956,98003,47.3257,-122.296,1550
136,220000.0,4,1.75,7840,1.0,0.0,0.0,3,1010,1010,1968,98003,47.3309,-122.29899999999999,1750
137,452000.0,4,2.25,10002,1.0,0.0,0.0,4,1340,1250,1968,98028,47.7689,-122.266,1550
138,382500.0,2,1.0,4440,1.0,0.0,0.0,3,1190,0,1981,98125,47.7135,-122.287,1060
139,519950.0,3,2.25,1249,3.0,0.0,0.0,3,1170,0,2014,98107,47.6722,-122.381,1350
140,665000.0,2,1.0,3200,1.0,0.0,0.0,3,1110,0,1925,98119,47.6338,-122.35799999999999,1170
141,527700.0,5,2.5,9375,1.0,0.0,0.0,4,1550,1270,1968,98006,47.5707,-122.12799999999999,2820
142,205000.0,3,1.0,8579,1.0,0.0,0.0,4,1010,600,1962,98058,47.4563,-122.171,1610
143,420000.0,3,1.0,8097,1.0,0.0,0.0,4,940,120,1923,98133,47.7144,-122.351,1560
144,500000.0,4,2.25,8517,1.0,0.0,0.0,4,1380,650,1961,98006,47.5495,-122.17399999999999,2230
145,921500.0,4,2.5,315374,2.0,0.0,0.0,4,3670,0,1994,98077,47.7421,-122.02600000000001,2840
146,890000.0,4,1.0,4000,2.0,0.0,0.0,3,2370,180,1905,98109,47.6354,-122.353,2200
147,430000.0,2,2.5,60984,2.0,0.0,0.0,3,2420,0,2007,98027,47.5262,-121.943,1940
148,258000.0,5,2.0,12500,1.0,0.0,0.0,4,1130,1130,1960,98032,47.3887,-122.286,1360
149,511000.0,3,1.0,3455,1.0,0.0,0.0,3,980,450,1947,98103,47.6873,-122.336,1450
150,532170.0,3,2.0,3090,2.0,0.0,0.0,3,1360,0,1990,98103,47.6838,-122.353,1500
151,560000.0,3,1.0,5000,1.5,0.0,0.0,3,1110,0,1947,98107,47.655,-122.359,1420
152,282950.0,3,1.0,8200,1.0,0.0,0.0,4,1250,0,1954,98003,47.3255,-122.304,1680
153,2250000.0,4,3.25,19850,2.0,0.0,3.0,3,3540,1640,2006,98006,47.562,-122.162,3160
154,350000.0,1,1.0,5100,1.0,0.0,0.0,3,700,0,1942,98115,47.678999999999995,-122.3,1010
155,215000.0,3,1.0,7669,1.0,0.0,0.0,4,1180,0,1967,98058,47.4479,-122.176,1190
156,650000.0,5,3.5,25245,2.0,0.0,0.0,3,2500,1460,1996,98056,47.525,-122.17200000000001,2640
157,320000.0,4,2.75,7500,1.0,0.0,0.0,3,1620,1020,1967,98023,47.3135,-122.369,1980
158,247000.0,3,2.0,7198,1.5,0.0,0.0,3,1270,0,1916,98022,47.2086,-121.99600000000001,1160
159,320000.0,4,1.75,11180,1.0,0.0,0.0,4,1760,0,1968,98059,47.4715,-122.118,1730
160,255000.0,5,2.25,8632,1.0,0.0,0.0,3,1030,1030,1962,98146,47.4877,-122.335,1010
161,438000.0,3,1.75,9660,1.0,0.0,0.0,3,1780,0,1962,98034,47.7171,-122.193,1200
162,900000.0,3,2.5,16603,2.0,0.0,0.0,3,3400,0,2000,98075,47.6012,-122.023,3400
163,441000.0,3,2.75,7280,1.0,0.0,0.0,3,1160,750,1979,98034,47.7319,-122.22399999999999,1710
164,420000.0,3,2.0,38332,1.0,0.0,0.0,4,1010,1010,1975,98027,47.4582,-122.023,2110
165,370000.0,3,1.75,7000,1.0,0.0,0.0,3,1180,400,1976,98034,47.7209,-122.16799999999999,1640
166,269950.0,2,1.75,7250,1.0,0.0,0.0,5,700,640,1949,98198,47.408,-122.32700000000001,1830
167,807100.0,4,2.5,4499,2.0,0.0,0.0,3,2680,0,1999,98006,47.565,-122.125,2920
168,653000.0,3,2.5,9750,1.0,0.0,0.0,4,1610,1070,1979,98034,47.7028,-122.23100000000001,2480
169,371500.0,3,2.0,8336,1.0,0.0,0.0,5,1370,0,1964,98133,47.7458,-122.331,1770
170,284000.0,3,1.75,21000,1.0,0.0,0.0,3,1560,0,1954,98166,47.4776,-122.337,1070
171,272000.0,3,1.75,7140,1.0,0.0,0.0,4,1670,490,1978,98023,47.3026,-122.374,1930
172,313000.0,3,1.5,7912,1.5,0.0,0.0,3,1340,0,1955,98133,47.7658,-122.339,1480
174,673000.0,4,2.25,8190,2.0,0.0,0.0,4,2590,0,1980,98006,47.5619,-122.125,2260
175,425000.0,3,2.5,1100,2.0,0.0,0.0,3,820,300,2008,98122,47.6106,-122.31,1590
176,399950.0,5,2.75,5400,1.0,0.0,0.0,3,1320,650,1986,98144,47.5868,-122.30799999999999,1280
177,385000.0,3,1.0,4800,1.0,0.0,0.0,3,1220,0,1901,98122,47.6101,-122.307,1200
178,269950.0,3,1.5,7560,1.0,0.0,2.0,4,1320,630,1975,98022,47.1976,-121.999,1950
179,330000.0,2,1.0,8220,1.0,0.0,0.0,3,1060,290,1949,98177,47.7224,-122.35799999999999,1540
180,260000.0,3,2.5,5797,2.0,0.0,0.0,3,1670,0,1988,98030,47.3505,-122.179,1670
181,470000.0,4,3.0,5125,1.5,0.0,0.0,4,1680,700,1925,98126,47.5384,-122.376,1410
182,589000.0,4,3.0,9600,2.0,0.0,0.0,5,2440,0,1961,98034,47.7044,-122.2,2290
183,163500.0,2,1.5,3419,2.0,0.0,0.0,3,1050,0,1996,98038,47.3848,-122.039,1050
184,835000.0,4,2.75,13412,2.0,0.0,0.0,3,2140,990,1993,98052,47.6993,-122.102,2260
185,1100000.0,5,3.0,12850,1.0,0.0,2.0,4,2090,2000,1986,98033,47.6627,-122.18799999999999,2540
186,269000.0,4,1.75,10000,1.0,0.0,0.0,4,1100,390,1969,98023,47.3099,-122.37899999999999,2190
187,560000.0,3,2.5,8744,2.0,0.0,0.0,3,1900,0,1987,98074,47.62,-122.04299999999999,2030
188,615000.0,4,1.0,2400,1.5,0.0,0.0,4,1330,0,1901,98103,47.65,-122.34,1330
189,585188.0,3,2.25,10026,1.0,0.0,0.0,3,1430,800,1975,98052,47.6647,-122.15299999999999,2230
190,305000.0,3,1.75,9480,1.0,0.0,0.0,3,1220,430,1977,98034,47.726000000000006,-122.191,1540
191,166950.0,3,1.0,8820,1.0,0.0,0.0,3,1190,0,1959,98058,47.4616,-122.184,1230
192,799000.0,3,2.5,9897,1.0,0.0,0.0,4,2140,0,1959,98040,47.5505,-122.219,2680
193,400000.0,3,2.5,7508,1.0,0.0,0.0,4,1420,760,1962,98133,47.7606,-122.336,1900
194,230000.0,3,1.0,10228,1.0,0.0,0.0,3,1060,0,1948,98155,47.7481,-122.3,1570
195,256883.0,3,2.5,5025,2.0,0.0,0.0,3,1690,0,2003,98023,47.2779,-122.34700000000001,2550
196,423000.0,4,2.0,6480,1.5,0.0,0.0,5,1130,840,1920,98108,47.5511,-122.31200000000001,1500
197,465000.0,3,2.5,4084,2.0,0.0,0.0,3,2150,0,2007,98126,47.5488,-122.37200000000001,1750
198,440000.0,3,2.5,66211,2.0,0.0,0.0,3,1910,0,1997,98024,47.5385,-121.911,2330
199,385000.0,3,1.75,155073,1.0,0.0,0.0,4,1350,0,1969,98038,47.4058,-121.994,1560
200,210000.0,3,1.0,11725,1.0,0.0,0.0,4,860,0,1943,98056,47.5093,-122.184,1300
201,297000.0,3,2.5,14952,2.0,0.0,0.0,3,1940,0,1994,98042,47.3777,-122.165,2030
202,470000.0,3,1.0,5000,1.0,0.0,0.0,3,1010,0,1952,98107,47.675,-122.39399999999999,1680
203,226500.0,3,1.5,7370,1.0,0.0,0.0,4,900,400,1976,98023,47.3025,-122.37,1430
204,274250.0,3,1.0,8450,1.0,0.0,0.0,4,910,0,1962,98059,47.4787,-122.15799999999999,1400
205,840000.0,4,1.75,11010,1.0,0.0,0.0,4,1630,850,1966,98040,47.5378,-122.219,2770
206,677900.0,3,2.5,4587,2.0,0.0,0.0,3,2440,0,2010,98052,47.7073,-122.11399999999999,2750
207,425000.0,3,1.0,5864,1.0,0.0,0.0,3,1010,0,1915,98116,47.5733,-122.381,1290
208,180250.0,2,0.75,9600,1.0,0.0,0.0,3,900,0,1941,98166,47.4604,-122.339,1250
209,464000.0,6,3.0,3404,2.0,0.0,0.0,3,1600,700,1920,98133,47.7067,-122.34299999999999,1560
210,320000.0,4,2.25,7579,2.0,0.0,0.0,3,1550,0,1993,98038,47.354,-122.04700000000001,1630
211,625504.0,3,2.25,1566,2.0,0.0,0.0,3,1060,210,2014,98105,47.6647,-122.28399999999999,1160
212,592500.0,4,2.5,12032,1.0,0.0,0.0,3,2240,0,1983,98074,47.6143,-122.01700000000001,2520
213,465000.0,3,2.5,17936,2.0,0.0,0.0,3,2714,0,2005,98001,47.3185,-122.275,2590
214,477000.0,4,2.75,6270,2.0,0.0,0.0,3,1720,0,1978,98118,47.5458,-122.26799999999999,2130
215,280000.0,2,1.0,16400,1.0,0.0,0.0,3,850,0,1923,98168,47.4889,-122.29899999999999,1100
217,445838.0,3,2.5,5692,2.0,0.0,0.0,3,2250,0,2000,98146,47.5133,-122.37899999999999,1320
218,1070000.0,2,2.25,14864,1.0,0.0,3.0,3,1950,1950,1947,98144,47.5884,-122.291,2580
219,467000.0,2,1.5,10800,1.0,0.0,0.0,4,1320,0,1947,98177,47.7145,-122.367,2120
220,686000.0,4,2.5,6440,2.0,0.0,0.0,3,2760,0,1999,98075,47.5836,-122.02600000000001,3070
221,279950.0,3,2.0,9750,1.0,0.0,0.0,3,1350,400,1961,98198,47.398,-122.29899999999999,1900
222,527000.0,4,2.25,19436,2.0,0.0,0.0,3,2330,0,1987,98011,47.7663,-122.215,1910
223,325000.0,3,2.25,16020,1.0,0.0,0.0,4,1780,440,1966,98030,47.3758,-122.21700000000001,2080
224,328000.0,3,2.25,8379,2.0,0.0,0.0,3,2020,0,1994,98038,47.3828,-122.023,2020
225,390000.0,3,2.25,7500,1.0,0.0,0.0,5,1250,0,1942,98146,47.5123,-122.37299999999999,1280
226,479950.0,2,2.0,6516,1.0,0.0,0.0,3,1510,0,2005,98053,47.7076,-122.01299999999999,1640
227,264950.0,4,2.25,9753,1.0,0.0,0.0,4,1120,600,1978,98023,47.2922,-122.37100000000001,1510
228,235000.0,3,1.0,15246,1.0,0.0,0.0,4,980,450,1961,98031,47.4075,-122.214,1960
229,516500.0,3,2.5,4729,2.0,0.0,0.0,3,1480,0,2004,98053,47.6794,-122.03399999999999,2250
230,655000.0,2,1.75,15798,2.0,1.0,4.0,3,1230,220,1915,98166,47.4497,-122.375,2030
231,500000.0,4,2.75,15347,1.0,0.0,0.0,5,2280,0,1960,98059,47.5218,-122.164,2280
232,315000.0,6,2.75,7350,1.0,0.0,0.0,3,1780,1160,1978,98023,47.3103,-122.339,2120
233,213000.0,2,1.0,10200,1.0,0.0,0.0,3,1000,0,1961,98024,47.5687,-121.899,1150
234,475000.0,3,1.5,5280,1.5,0.0,0.0,5,1620,860,1947,98108,47.5575,-122.303,2090
235,1030000.0,5,4.0,28040,2.0,0.0,0.0,3,3760,0,1983,98033,47.6489,-122.18299999999999,3430
236,416000.0,3,2.0,94300,1.0,0.0,0.0,5,1640,580,1976,98010,47.3459,-121.95,2070
237,410000.0,4,1.0,4740,1.5,0.0,0.0,3,1670,300,1904,98122,47.6136,-122.303,1510
238,800000.0,3,3.5,221284,2.0,0.0,0.0,3,3530,300,1993,98077,47.7641,-122.023,2920
239,472000.0,6,2.5,14034,1.0,0.0,2.0,4,2350,2060,1965,98003,47.3376,-122.324,2600
240,225000.0,3,1.75,8505,1.0,0.0,0.0,4,1430,0,1968,98003,47.3173,-122.319,1190
241,210000.0,2,1.0,6000,1.0,0.0,0.0,3,830,0,1940,98126,47.5308,-122.376,830
242,455000.0,2,1.0,5000,1.5,0.0,0.0,2,1430,0,1925,98115,47.6727,-122.29899999999999,1450
243,225000.0,3,1.0,8316,1.0,0.0,0.0,4,1300,0,1954,98002,47.3221,-122.21600000000001,1260
244,480000.0,2,1.0,3060,1.0,0.0,2.0,4,790,240,1918,98103,47.6779,-122.353,1390
245,363000.0,3,2.5,11872,2.0,0.0,0.0,3,2740,0,1990,98023,47.3076,-122.395,2570
246,2400000.0,4,2.5,8354,1.0,1.0,4.0,3,1830,1820,2000,98074,47.6338,-122.072,3120
247,181000.0,2,1.5,5120,1.0,0.0,0.0,3,720,0,1954,98106,47.5218,-122.35700000000001,1150
248,250000.0,4,2.0,7312,1.0,0.0,0.0,4,2010,0,1976,98002,47.2785,-122.213,2010
249,481000.0,3,1.75,3000,1.0,0.0,0.0,4,770,790,1918,98103,47.6846,-122.345,1390
250,260000.0,3,2.0,7209,1.0,0.0,0.0,4,1240,570,1978,98032,47.3656,-122.27799999999999,1750
251,455000.0,4,2.5,7685,2.0,0.0,0.0,3,3360,0,2001,98058,47.4369,-122.111,3060
252,415000.0,3,2.25,36224,2.0,0.0,0.0,3,1510,0,1991,98045,47.4616,-121.711,1730
253,349500.0,3,1.0,3538,1.0,0.0,0.0,3,800,600,1953,98118,47.5405,-122.27,1620
